epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5937,2.25843,3.57879,1.70189,0.28507,0.39761,0.26338,0.11141,1.9985,2.44577,1.58165,0.000414847,0.000414847,0.000414847
2,47.1916,1.99764,2.66847,1.55229,0.41223,0.4016,0.34277,0.14711,1.96763,2.23278,1.61026,0.000804074,0.000804074,0.000804074
3,69.0266,1.97579,2.49908,1.53337,0.43172,0.41294,0.39028,0.17274,1.88964,2.04699,1.57453,0.0011658,0.0011658,0.0011658
4,91.4214,1.93448,2.25527,1.51614,0.47849,0.46645,0.45019,0.21944,1.92923,1.93649,1.5463,0.00112625,0.00112625,0.00112625
5,115.627,1.90495,2.13386,1.48812,0.50893,0.46934,0.47018,0.25456,1.85703,1.89264,1.51939,0.001085,0.001085,0.001085
6,139.224,1.8273,1.95755,1.44592,0.50781,0.45745,0.51783,0.24503,1.82381,1.88373,1.53072,0.00104375,0.00104375,0.00104375
7,160.827,1.83956,1.95842,1.46425,0.51654,0.56959,0.56367,0.3022,1.76078,1.7514,1.44497,0.0010025,0.0010025,0.0010025
8,183.052,1.80493,1.86049,1.4521,0.49835,0.54061,0.55855,0.2919,1.7926,1.66692,1.47339,0.00096125,0.00096125,0.00096125
9,206.058,1.76875,1.74489,1.41558,0.59298,0.57383,0.62459,0.33879,1.71489,1.62939,1.44853,0.00092,0.00092,0.00092
10,228.591,1.72788,1.70349,1.40311,0.60184,0.57979,0.63785,0.33547,1.7592,1.5426,1.44638,0.00087875,0.00087875,0.00087875
11,250.824,1.71367,1.64042,1.37649,0.59945,0.59741,0.65778,0.37172,1.70429,1.48856,1.4264,0.0008375,0.0008375,0.0008375
12,272.885,1.68812,1.60897,1.39304,0.63965,0.60797,0.65842,0.38396,1.67707,1.50345,1.43102,0.00079625,0.00079625,0.00079625
13,295.065,1.64933,1.55662,1.35416,0.65694,0.59706,0.67514,0.39502,1.65615,1.46653,1.42289,0.000755,0.000755,0.000755
14,317.106,1.6375,1.50735,1.34521,0.71027,0.51939,0.66517,0.38606,1.67034,1.45027,1.40874,0.00071375,0.00071375,0.00071375
15,339.003,1.62849,1.51443,1.32821,0.65772,0.60879,0.66158,0.3936,1.65662,1.46171,1.41049,0.0006725,0.0006725,0.0006725
16,361.179,1.59592,1.4676,1.31426,0.66446,0.61637,0.68607,0.40755,1.6538,1.39324,1.39941,0.00063125,0.00063125,0.00063125
17,383.295,1.57737,1.40701,1.2956,0.70532,0.61455,0.69355,0.41152,1.64166,1.41239,1.38884,0.00059,0.00059,0.00059
18,405.604,1.55523,1.39833,1.28479,0.62292,0.67434,0.71503,0.42855,1.60165,1.33098,1.36102,0.00054875,0.00054875,0.00054875
19,427.901,1.55995,1.39012,1.29408,0.73664,0.60045,0.72949,0.43974,1.60789,1.324,1.38309,0.0005075,0.0005075,0.0005075
20,449.87,1.51491,1.32259,1.28441,0.72293,0.63356,0.7356,0.45097,1.58837,1.31015,1.35495,0.00046625,0.00046625,0.00046625
21,495.142,1.52543,1.26611,1.29536,0.67255,0.68415,0.74599,0.44793,1.58402,1.28073,1.35708,0.000425,0.000425,0.000425
22,517.437,1.48063,1.22354,1.28567,0.7277,0.63644,0.73848,0.46808,1.5406,1.24519,1.34166,0.00038375,0.00038375,0.00038375
23,539.024,1.46129,1.20472,1.274,0.72478,0.65847,0.74199,0.44822,1.56874,1.26601,1.33455,0.0003425,0.0003425,0.0003425
24,561.326,1.42226,1.16497,1.25217,0.72258,0.67781,0.75889,0.47092,1.55853,1.21714,1.34752,0.00030125,0.00030125,0.00030125
25,584.025,1.38636,1.111,1.2338,0.74193,0.63827,0.74283,0.4739,1.51239,1.24878,1.32352,0.00026,0.00026,0.00026
26,606.436,1.38184,1.1084,1.23269,0.6777,0.70881,0.76295,0.47765,1.53412,1.19333,1.32603,0.00021875,0.00021875,0.00021875
27,628.774,1.35986,1.06965,1.22318,0.74814,0.67084,0.77214,0.48418,1.52664,1.17913,1.33954,0.0001775,0.0001775,0.0001775
28,651.09,1.33989,1.04883,1.21772,0.73813,0.68107,0.76885,0.48939,1.51396,1.17215,1.32777,0.00013625,0.00013625,0.00013625
29,673.676,1.32423,1.03433,1.20236,0.70885,0.72495,0.77463,0.49587,1.49818,1.17615,1.3192,9.5e-05,9.5e-05,9.5e-05
30,696.066,1.28968,0.99067,1.17877,0.71717,0.71248,0.7764,0.49856,1.4877,1.17086,1.31897,5.375e-05,5.375e-05,5.375e-05
